test,method,estimate,ci_lo,ci_hi,p_value,p_holm,significant
Transfer-gap asymmetry (mobilenet_v2),Run-level bootstrap (paired per-seed),0.233,0.125,0.351,,,True
Transfer-gap asymmetry (efficientnet_b0),Run-level bootstrap (paired per-seed),0.444,0.328,0.53,,,True
"Architecture contrast AUROC (N2K, ensemble-averaged)",DeLong,-0.151,,,0.0,0.0,True
"Architecture contrast accuracy (N2K, ensemble-averaged)",McNemar,,,,0.0,0.0,True
