arch,n_seeds_K,n_seeds_N,gap_K,gap_K_lo,gap_K_hi,gap_N,gap_N_lo,gap_N_hi,asymmetry,asym_lo,asym_hi
mobilenet_v2,3,3,0.316,0.196,0.384,0.135,0.034,0.214,0.182,0.039,0.336
efficientnet_b0,3,3,0.353,0.196,0.458,-0.028,-0.068,0.031,0.382,0.165,0.525
