arch,n2k_subsampled_mean_ece,n2k_subsampled_lo,n2k_subsampled_hi,k2n_actual_ece,gap_survives_size_matching
mobilenet_v2,0.202,0.081,0.338,0.259,False
efficientnet_b0,0.181,0.069,0.311,0.239,False
