arch,size,seed,condition,n,auroc,ece_debiased,n_bins_used
efficientnet_b0,100,42,K2M,300,0.6587555555555556,0.3517278244525195,15
efficientnet_b0,100,43,K2M,300,0.8754222222222221,0.2604483053972014,15
efficientnet_b0,100,44,K2M,300,0.7828444444444445,0.3867432866799954,15
efficientnet_b0,100,45,K2M,300,0.9544,0.1123509858054118,15
efficientnet_b0,100,46,K2M,300,0.9110666666666668,0.1506531788938756,15
efficientnet_b0,100,47,K2M,300,0.7650222222222222,0.3043261840587947,15
efficientnet_b0,190,42,K2M,300,0.7256444444444445,0.3142620949521039,15
efficientnet_b0,190,43,K2M,300,0.9159555555555556,0.208779688867882,15
efficientnet_b0,190,44,K2M,300,0.7510888888888888,0.4085768813807205,15
efficientnet_b0,190,45,K2M,300,0.9555111111111112,0.0802786090028727,15
efficientnet_b0,190,46,K2M,300,0.9616888888888888,0.1126267809721738,15
efficientnet_b0,190,47,K2M,300,0.8621333333333332,0.1601541074157692,15
efficientnet_b0,50,42,K2M,300,0.8727111111111112,0.2736569981882019,15
efficientnet_b0,50,43,K2M,300,0.8782222222222221,0.2380269780414605,15
efficientnet_b0,50,44,K2M,300,0.5159555555555554,0.1519515196889639,15
efficientnet_b0,50,45,K2M,300,0.7839555555555556,0.2607846937229235,15
efficientnet_b0,50,46,K2M,300,0.7814666666666666,0.1401018295974782,15
efficientnet_b0,50,47,K2M,300,0.7756888888888889,0.3731835734346532,15
mobilenet_v2,100,42,K2M,300,0.2201333333333333,0.4642470640555024,15
mobilenet_v2,100,43,K2M,300,0.6542222222222221,0.4675343737110379,15
mobilenet_v2,100,44,K2M,300,0.6413777777777778,0.4970257905054528,15
mobilenet_v2,100,45,K2M,300,0.8843555555555556,0.2597311735013723,15
mobilenet_v2,100,46,K2M,300,0.8982666666666667,0.2585383103117119,15
mobilenet_v2,100,47,K2M,300,0.8436888888888888,0.364604427189411,15
mobilenet_v2,190,42,K2M,300,0.6535555555555556,0.4533064421853672,15
mobilenet_v2,190,43,K2M,300,0.8734222222222222,0.3561947021639692,15
mobilenet_v2,190,44,K2M,300,0.6368888888888888,0.4903062207767585,15
mobilenet_v2,190,45,K2M,300,0.8915111111111109,0.2820256204263463,15
mobilenet_v2,190,46,K2M,300,0.8112444444444444,0.4167278278043513,15
mobilenet_v2,190,47,K2M,300,0.7826222222222223,0.323489834884042,15
mobilenet_v2,50,42,K2M,300,0.3710666666666666,0.418031001535182,15
mobilenet_v2,50,43,K2M,300,0.6734222222222221,0.4856036827929375,15
mobilenet_v2,50,44,K2M,300,0.7370222222222221,0.4078656554231497,15
mobilenet_v2,50,45,K2M,300,0.8616444444444444,0.3412992664519193,15
mobilenet_v2,50,46,K2M,300,0.9285777777777778,0.1284261659891538,15
mobilenet_v2,50,47,K2M,300,0.5572,0.3885945025737086,15
