direction,n_pooled,auroc,auroc_lo,auroc_hi,spec95,spec95_lo,spec95_hi
K2N,540,0.624,0.577,0.67,0.119,0.074,0.167
N2K,18720,0.662,0.654,0.669,0.153,0.139,0.166
